id,country_code,framework_code,version,control_number,domain,title_en,title_ar,requirement_en,requirement_ar,control_type,maturity_level,priority,is_mandatory,evidence_types,status
1,USA,USA-NIST-CSF,2.0,1.1,Govern,Govern - Control 1,Govern - ضابط 1,The organization shall implement govern controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Govern لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,1,critical,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
2,USA,USA-NIST-CSF,2.0,2.1,Identify,Identify - Control 1,Identify - ضابط 1,The organization shall implement identify controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Identify لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,2,high,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
3,USA,USA-NIST-CSF,2.0,3.1,Protect,Protect - Control 1,Protect - ضابط 1,The organization shall implement protect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Protect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,3,medium,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
4,USA,USA-NIST-CSF,2.0,4.1,Detect,Detect - Control 1,Detect - ضابط 1,The organization shall implement detect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Detect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,4,low,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
5,USA,USA-NIST-CSF,2.0,5.1,Respond,Respond - Control 1,Respond - ضابط 1,The organization shall implement respond controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Respond لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,1,critical,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
6,USA,USA-NIST-CSF,2.0,6.1,Recover,Recover - Control 1,Recover - ضابط 1,The organization shall implement recover controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Recover لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,2,high,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
7,USA,USA-NIST-CSF,2.0,1.2,Govern,Govern - Control 2,Govern - ضابط 2,The organization shall implement govern controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Govern لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,3,medium,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
8,USA,USA-NIST-CSF,2.0,2.2,Identify,Identify - Control 2,Identify - ضابط 2,The organization shall implement identify controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Identify لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,4,low,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
9,USA,USA-NIST-CSF,2.0,3.2,Protect,Protect - Control 2,Protect - ضابط 2,The organization shall implement protect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Protect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,1,critical,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
10,USA,USA-NIST-CSF,2.0,4.2,Detect,Detect - Control 2,Detect - ضابط 2,The organization shall implement detect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Detect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,2,high,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
11,USA,USA-NIST-CSF,2.0,5.2,Respond,Respond - Control 2,Respond - ضابط 2,The organization shall implement respond controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Respond لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,3,medium,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
12,USA,USA-NIST-CSF,2.0,6.2,Recover,Recover - Control 2,Recover - ضابط 2,The organization shall implement recover controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Recover لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,4,low,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
13,USA,USA-NIST-CSF,2.0,1.3,Govern,Govern - Control 3,Govern - ضابط 3,The organization shall implement govern controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Govern لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,1,critical,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
14,USA,USA-NIST-CSF,2.0,2.3,Identify,Identify - Control 3,Identify - ضابط 3,The organization shall implement identify controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Identify لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,2,high,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
15,USA,USA-NIST-CSF,2.0,3.3,Protect,Protect - Control 3,Protect - ضابط 3,The organization shall implement protect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Protect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,3,medium,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
16,USA,USA-NIST-CSF,2.0,4.3,Detect,Detect - Control 3,Detect - ضابط 3,The organization shall implement detect controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Detect لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,preventive,4,low,False,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
17,USA,USA-NIST-CSF,2.0,5.3,Respond,Respond - Control 3,Respond - ضابط 3,The organization shall implement respond controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Respond لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,detective,1,critical,False,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
18,USA,USA-NIST-CSF,2.0,6.3,Recover,Recover - Control 3,Recover - ضابط 3,The organization shall implement recover controls to ensure compliance with NIST Cybersecurity Framework 2.0 requirements.,يجب على المنظمة تطبيق ضوابط Recover لضمان الامتثال لمتطلبات إطار الأمن السيبراني NIST,corrective,2,high,False,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
