control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
1,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.1,Cyber Security Governance,حوكمة الأمن السيبراني,3.1.1-1,Board Oversight,إشراف مجلس الإدارة,Board of Member Organization shall be ultimately responsible for cyber security.,مجلس الإدارة مسؤول نهائياً عن الأمن السيبراني.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
2,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.1,Cyber Security Governance,حوكمة الأمن السيبراني,3.1.1-2,Cyber Security Committee,لجنة الأمن السيبراني,Cyber security committee shall be established with senior management members.,إنشاء لجنة الأمن السيبراني بأعضاء من الإدارة العليا.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
3,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.2,Cyber Security Strategy,استراتيجية الأمن السيبراني,3.1.2-1,Cyber Security Strategy,استراتيجية الأمن السيبراني,Cyber security strategy aligned with overall and banking sector strategy.,استراتيجية الأمن السيبراني متوافقة مع الاستراتيجية العامة وقطاع البنوك.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
4,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.3,Cyber Security Policy,سياسة الأمن السيبراني,3.1.3-1,Cyber Security Policy,سياسة الأمن السيبراني,"Cyber security policy must be defined, approved by board, communicated.",سياسة الأمن السيبراني معتمدة من المجلس ومُعممة.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
5,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.4,Cyber Security Roles and Responsibilities,الأدوار والمسؤوليات,3.1.4-1,CISO Appointment,تعيين CISO,CISO must be appointed reporting to senior executive level.,تعيين CISO يرفع تقاريره للمستوى التنفيذي العالي.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
6,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.5,Cyber Security in Project Management,الأمن السيبراني في المشاريع,3.1.5-1,Project Cyber Security,الأمن السيبراني للمشاريع,Cyber security must be integrated into project management methodology.,دمج الأمن السيبراني في منهجية إدارة المشاريع.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
7,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.6,Cyber Security Awareness,التوعية بالأمن السيبراني,3.1.6-1,Awareness Program,برنامج التوعية,Cyber security awareness program with effectiveness measurement.,برنامج التوعية مع قياس الفاعلية.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
8,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.1,Cyber Security Leadership and Governance,القيادة والحوكمة في الأمن السيبراني,3.1.7,Cyber Security Training,تدريب الأمن السيبراني,3.1.7-1,Specialized Training,التدريب المتخصص,Specialized cyber security training for relevant personnel.,تدريب متخصص للموظفين المعنيين.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
9,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.1,Cyber Security Risk Management,إدارة مخاطر الأمن السيبراني,3.2.1-1,Risk Methodology,منهجية المخاطر,Cyber security risk management embedded in enterprise risk management.,إدارة مخاطر الأمن السيبراني ضمن إدارة مخاطر المؤسسة.,preventive,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
10,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.1,Cyber Security Risk Management,إدارة مخاطر الأمن السيبراني,3.2.1-2,Annual Risk Assessment,تقييم سنوي للمخاطر,Cyber security risk assessment at least annually.,تقييم المخاطر سنوياً على الأقل.,detective,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
11,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.2,Regulatory Compliance,الامتثال التنظيمي,3.2.2-1,SAMA Compliance,الامتثال لـ SAMA,Compliance with SAMA cyber security regulations must be monitored.,مراقبة الامتثال للوائح SAMA السيبرانية.,detective,critical,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
12,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.3,Compliance with International Industry Standards,الامتثال للمعايير الدولية,3.2.3-1,PCI-DSS / SWIFT CSP,PCI-DSS / SWIFT CSP,PCI-DSS or SWIFT CSP must be implemented if applicable.,تطبيق PCI-DSS أو SWIFT CSP عند الانطباق.,preventive,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
13,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.4,Cyber Security Review and Audit,مراجعة وتدقيق الأمن السيبراني,3.2.4-1,Internal Audit,التدقيق الداخلي,Internal audit must include cyber security in audit plan.,خطة التدقيق الداخلي تشمل الأمن السيبراني.,detective,high,3,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
14,SAMA-CSF,1.0,SAMA,Saudi Central Bank,البنك المركزي السعودي,3.2,Cyber Security Risk Management and Compliance,إدارة المخاطر والامتثال,3.2.4,Cyber Security Review and Audit,مراجعة وتدقيق الأمن السيبراني,3.2.4-2,Independent Review,المراجعة المستقلة,Independent cyber security review by qualified third party every 3 years.,مراجعة مستقلة من طرف ثالث مؤهل كل 3 سنوات.,detective,high,4,True,https://rulebook.sama.gov.sa/en/cyber-security-framework-2
