control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
1,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,1,Lawful Processing Principles,مبادئ المعالجة المشروعة,1-1,Legal Basis for Processing,الأساس القانوني للمعالجة,Art-5,Lawful Basis Required,الأساس القانوني مطلوب,"Personal data must not be processed without consent except for: legitimate interest, contract performance, legal obligation, public interest, or vital interest.",لا يجوز معالجة البيانات الشخصية دون موافقة إلا للحالات المحددة في القانون.,preventive,critical,3,True,https://sdaia.gov.sa
2,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,1,Lawful Processing Principles,مبادئ المعالجة المشروعة,1-1,Legal Basis for Processing,الأساس القانوني للمعالجة,Art-6,Consent Requirements,متطلبات الموافقة,"Consent must be explicit, specific, freely given, and revocable. Consent records maintained.",الموافقة صريحة ومحددة وحرة وقابلة للسحب.,preventive,critical,3,True,https://sdaia.gov.sa
3,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,1,Lawful Processing Principles,مبادئ المعالجة المشروعة,1-2,Purpose Limitation and Minimization,تحديد الغرض والتقليل,Art-10,Purpose Limitation,تحديد الغرض,"Personal data collected for specific, explicit, legitimate purposes only.",البيانات الشخصية تُجمع لأغراض محددة وصريحة ومشروعة.,preventive,high,3,True,https://sdaia.gov.sa
4,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,1,Lawful Processing Principles,مبادئ المعالجة المشروعة,1-2,Purpose Limitation and Minimization,تحديد الغرض والتقليل,Art-11,Data Minimization,تقليل البيانات,Personal data limited to what is necessary for the purposes.,البيانات الشخصية تقتصر على الضروري للأغراض.,preventive,high,3,True,https://sdaia.gov.sa
5,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,1,Lawful Processing Principles,مبادئ المعالجة المشروعة,1-3,Data Accuracy and Quality,دقة البيانات,Art-12,Data Accuracy,دقة البيانات,"Personal data must be accurate, complete, and up-to-date.",البيانات الشخصية دقيقة وكاملة ومحدثة.,preventive,high,3,True,https://sdaia.gov.sa
6,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,2,Data Subject Rights,حقوق صاحب البيانات,2-1,Right to be Informed,الحق في الإبلاغ,Art-4-1,Privacy Notice,إشعار الخصوصية,"Data subject must be informed of legal basis, purpose, retention, rights at collection.",إبلاغ صاحب البيانات بالأساس القانوني والغرض والاحتفاظ والحقوق.,preventive,critical,3,True,https://sdaia.gov.sa
7,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,2,Data Subject Rights,حقوق صاحب البيانات,2-2,Right of Access,حق الوصول,Art-4-2,30-Day Subject Access Response,الاستجابة خلال 30 يوماً,Data controllers must respond to access requests within 30 days (extendable by 30 more).,الاستجابة لطلبات الوصول خلال 30 يوماً (قابلة للتمديد).,corrective,high,3,True,https://sdaia.gov.sa
8,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,2,Data Subject Rights,حقوق صاحب البيانات,2-3,Right to Rectification,حق التصحيح,Art-4-3,Rectification,التصحيح,Data subjects have right to rectify inaccurate personal data.,حق صاحب البيانات في تصحيح البيانات غير الدقيقة.,corrective,high,3,True,https://sdaia.gov.sa
9,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,2,Data Subject Rights,حقوق صاحب البيانات,2-4,Right to Deletion,حق الحذف,Art-4-4,Right to Erasure,حق الحذف,Data subjects can request deletion when no longer necessary.,طلب حذف البيانات عند عدم الحاجة.,corrective,high,3,True,https://sdaia.gov.sa
10,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,3,Controller Obligations,التزامات المتحكم,3-1,Records of Processing Activities,سجلات المعالجة,Art-31,ROPA Maintenance,صيانة سجل المعالجة,"Controllers must maintain Records of Processing Activities (ROPA) including purpose, legal basis, retention.",الاحتفاظ بسجل أنشطة المعالجة ROPA.,preventive,critical,3,True,https://sdaia.gov.sa
11,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,3,Controller Obligations,التزامات المتحكم,3-2,Data Protection Officer,مسؤول حماية البيانات,Art-32,DPO Appointment,تعيين DPO,"DPO appointment for entities processing sensitive data, large-scale, or monitoring.",تعيين DPO للجهات التي تعالج بيانات حساسة أو واسعة النطاق.,preventive,critical,3,True,https://sdaia.gov.sa
12,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,3,Controller Obligations,التزامات المتحكم,3-3,Data Protection Impact Assessment,تقييم أثر حماية البيانات,Art-25,DPIA for High-Risk Processing,DPIA للمعالجة عالية المخاطر,DPIA for high-risk processing including automated decision-making.,DPIA للمعالجة عالية المخاطر والقرارات الآلية.,preventive,high,3,True,https://sdaia.gov.sa
13,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,3,Controller Obligations,التزامات المتحكم,3-4,Security of Processing,أمن المعالجة,Art-19,Technical and Organizational Measures,التدابير التقنية والتنظيمية,Appropriate technical and organizational measures to protect personal data.,تدابير تقنية وتنظيمية مناسبة لحماية البيانات.,preventive,critical,3,True,https://sdaia.gov.sa
14,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,3,Controller Obligations,التزامات المتحكم,3-5,Personal Data Breach Notification,الإبلاغ عن خرق البيانات,Art-20,72-Hour SDAIA Breach Notification,إشعار SDAIA 72 ساعة,Personal data breaches must be reported to SDAIA within 72 hours.,الإبلاغ عن خرق البيانات إلى SDAIA خلال 72 ساعة.,corrective,critical,3,True,https://sdaia.gov.sa
15,PDPL,1.0-2023,SDAIA,Saudi Data and AI Authority,الهيئة السعودية للبيانات والذكاء الاصطناعي,4,Cross-Border Data Transfer,نقل البيانات عبر الحدود,4-1,Transfer Outside KSA,النقل خارج المملكة,Art-29,Cross-Border Transfer Safeguards,ضمانات النقل عبر الحدود,"Transfer outside KSA requires adequate level of protection or appropriate safeguards (BCRs, SCCs).",النقل خارج المملكة يتطلب مستوى ملائم من الحماية.,preventive,critical,3,True,https://sdaia.gov.sa
