id,country_code,framework_code,version,control_number,domain,title_en,title_ar,requirement_en,requirement_ar,control_type,maturity_level,priority,is_mandatory,evidence_types,status
1,ARE,UAE-IAR,2.0,1.1,Strategy & Planning,Strategy & Planning - Control 1,Strategy & Planning - ضابط 1,The organization shall implement strategy & planning controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Strategy & Planning لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,preventive,1,critical,True,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
2,ARE,UAE-IAR,2.0,2.1,Information Security Management,Information Security Management - Control 1,Information Security Management - ضابط 1,The organization shall implement information security management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Information Security Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,detective,2,high,True,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
3,ARE,UAE-IAR,2.0,3.1,Asset Management,Asset Management - Control 1,Asset Management - ضابط 1,The organization shall implement asset management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Asset Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,corrective,3,medium,True,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
4,ARE,UAE-IAR,2.0,4.1,Physical Security,Physical Security - Control 1,Physical Security - ضابط 1,The organization shall implement physical security controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Physical Security لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,preventive,4,low,True,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
5,ARE,UAE-IAR,2.0,5.1,Operations Management,Operations Management - Control 1,Operations Management - ضابط 1,The organization shall implement operations management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Operations Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,detective,1,critical,True,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
6,ARE,UAE-IAR,2.0,6.1,Communications Security,Communications Security - Control 1,Communications Security - ضابط 1,The organization shall implement communications security controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Communications Security لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,corrective,2,high,True,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
7,ARE,UAE-IAR,2.0,7.1,Access Control,Access Control - Control 1,Access Control - ضابط 1,The organization shall implement access control controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Access Control لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,preventive,3,medium,True,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
8,ARE,UAE-IAR,2.0,8.1,Information Systems,Information Systems - Control 1,Information Systems - ضابط 1,The organization shall implement information systems controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Information Systems لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,detective,4,low,True,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
9,ARE,UAE-IAR,2.0,9.1,Third Party,Third Party - Control 1,Third Party - ضابط 1,The organization shall implement third party controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,corrective,1,critical,True,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
10,ARE,UAE-IAR,2.0,10.1,Information Security Incident Management,Information Security Incident Management - Control 1,Information Security Incident Management - ضابط 1,The organization shall implement information security incident management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Information Security Incident Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,preventive,2,high,True,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
11,ARE,UAE-IAR,2.0,11.1,Compliance,Compliance - Control 1,Compliance - ضابط 1,The organization shall implement compliance controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Compliance لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,detective,3,medium,True,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
12,ARE,UAE-IAR,2.0,1.2,Strategy & Planning,Strategy & Planning - Control 2,Strategy & Planning - ضابط 2,The organization shall implement strategy & planning controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Strategy & Planning لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,corrective,4,low,True,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
13,ARE,UAE-IAR,2.0,2.2,Information Security Management,Information Security Management - Control 2,Information Security Management - ضابط 2,The organization shall implement information security management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Information Security Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,preventive,1,critical,True,POLICY|PROCEDURE|STANDARD|CONFIG|TRAINING_RECORD,active
14,ARE,UAE-IAR,2.0,3.2,Asset Management,Asset Management - Control 2,Asset Management - ضابط 2,The organization shall implement asset management controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Asset Management لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,detective,2,high,True,LOG|REPORT|SCAN_REPORT|AUDIT_REPORT|ACCESS_REVIEW,active
15,ARE,UAE-IAR,2.0,4.2,Physical Security,Physical Security - Control 2,Physical Security - ضابط 2,The organization shall implement physical security controls to ensure compliance with Information Assurance Regulation requirements.,يجب على المنظمة تطبيق ضوابط Physical Security لضمان الامتثال لمتطلبات لائحة ضمان المعلومات,corrective,3,medium,True,INCIDENT_REPORT|MEETING_MINUTES|ATTESTATION|RISK_ASSESSMENT,active
