mapping_id,control_id,framework_code,control_number,evidence_type_code,evidence_name_en,evidence_name_ar,evidence_category,is_mandatory,is_primary,display_order,min_retention_months,review_frequency_months,approval_role,format_hints,requirement_description_en
1,1,SAMA-CSF,3.1.1-1,BOARD_CHARTER,Board Charter,ميثاق مجلس الإدارة,document,True,True,1,84,24,Board,PDF,Provide Board Charter demonstrating implementation of Board Oversight
2,1,SAMA-CSF,3.1.1-1,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,True,False,2,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Board Oversight
3,1,SAMA-CSF,3.1.1-1,ATTESTATION,Management Attestation,إقرار الإدارة,document,False,False,3,36,12,Executive,PDF,Provide Management Attestation demonstrating implementation of Board Oversight
4,1,SAMA-CSF,3.1.1-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,4,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Board Oversight
5,2,SAMA-CSF,3.1.1-2,COMMITTEE_CHARTER,Committee Charter,ميثاق اللجنة,document,True,True,1,60,12,Board,PDF,Provide Committee Charter demonstrating implementation of Cyber Security Committee
6,2,SAMA-CSF,3.1.1-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,True,False,2,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Cyber Security Committee
7,2,SAMA-CSF,3.1.1-2,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Cyber Security Committee
8,3,SAMA-CSF,3.1.2-1,STRATEGY_DOC,Strategy Document,وثيقة الاستراتيجية,document,True,True,1,60,12,Authorizing Official,PDF,Provide Strategy Document demonstrating implementation of Cyber Security Strategy
9,3,SAMA-CSF,3.1.2-1,BOARD_APPROVAL,Board Approval,موافقة مجلس الإدارة,record,True,False,2,84,0,Board,PDF,Provide Board Approval demonstrating implementation of Cyber Security Strategy
10,3,SAMA-CSF,3.1.2-1,ROADMAP,Implementation Roadmap,خارطة الطريق,document,False,False,3,60,6,Executive,"PDF, XLSX",Provide Implementation Roadmap demonstrating implementation of Cyber Security Strategy
11,3,SAMA-CSF,3.1.2-1,BUDGET_APPROVAL,Budget Approval,موافقة الميزانية,record,False,False,4,60,12,CFO,PDF,Provide Budget Approval demonstrating implementation of Cyber Security Strategy
12,4,SAMA-CSF,3.1.3-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cyber Security Policy
13,4,SAMA-CSF,3.1.3-1,BOARD_APPROVAL,Board Approval,موافقة مجلس الإدارة,record,True,False,2,84,0,Board,PDF,Provide Board Approval demonstrating implementation of Cyber Security Policy
14,4,SAMA-CSF,3.1.3-1,COMMUNICATION_RECORD,Communication Record,سجل الاتصالات,record,False,False,3,36,12,None,"PDF, EMAIL",Provide Communication Record demonstrating implementation of Cyber Security Policy
15,4,SAMA-CSF,3.1.3-1,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,4,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Cyber Security Policy
16,5,SAMA-CSF,3.1.4-1,JOB_DESCRIPTION,Job Description,الوصف الوظيفي,document,True,True,1,60,24,HR,"PDF, DOCX",Provide Job Description demonstrating implementation of CISO Appointment
