code,name_en,name_ar,category,retention_months,review_months,approval,format
POLICY,Policy Document,وثيقة السياسة,document,36,12,Executive Management,"PDF, DOCX"
PROCEDURE,Procedure Document,وثيقة الإجراءات,document,36,12,Department Head,"PDF, DOCX"
STANDARD,Technical Standard,المعيار الفني,document,36,12,CISO,"PDF, DOCX"
STRATEGY_DOC,Strategy Document,وثيقة الاستراتيجية,document,60,12,Authorizing Official,PDF
ROADMAP,Implementation Roadmap,خارطة الطريق,document,60,6,Executive,"PDF, XLSX"
ATTESTATION,Management Attestation,إقرار الإدارة,document,36,12,Executive,PDF
CONTRACT,Contract/Agreement,عقد,document,84,12,Legal,PDF
SLA,Service Level Agreement,اتفاقية مستوى الخدمة,document,84,12,Legal,PDF
CERTIFICATE,Certificate,شهادة,document,36,12,None,PDF
BCP_DRP,BCP/DRP Plan,خطة استمرارية الأعمال,document,36,12,Executive,"PDF, DOCX"
BOARD_CHARTER,Board Charter,ميثاق مجلس الإدارة,document,84,24,Board,PDF
COMMITTEE_CHARTER,Committee Charter,ميثاق اللجنة,document,60,12,Board,PDF
JOB_DESCRIPTION,Job Description,الوصف الوظيفي,document,60,24,HR,"PDF, DOCX"
ORG_CHART,Organizational Chart,الهيكل التنظيمي,document,60,12,Executive,"PDF, VISIO"
RACI_MATRIX,RACI Matrix,مصفوفة RACI,document,36,12,Department Head,"XLSX, PDF"
PRIVACY_NOTICE,Privacy Notice,إشعار الخصوصية,document,84,12,DPO/Legal,"HTML, PDF"
ROPA,Records of Processing Activities,سجل أنشطة المعالجة,record,60,6,DPO,"XLSX, JSON"
DPIA,Data Protection Impact Assessment,تقييم أثر حماية البيانات,record,60,12,DPO,"PDF, DOCX"
RISK_METHODOLOGY,Risk Methodology,منهجية المخاطر,document,60,24,CISO/Risk,PDF
RISK_ASSESSMENT,Risk Assessment,تقييم المخاطر,record,36,12,Risk Officer,"PDF, XLSX"
RISK_REGISTER,Risk Register,سجل المخاطر,record,60,3,CISO,"XLSX, JSON"
RISK_TREATMENT_PLAN,Risk Treatment Plan,خطة معالجة المخاطر,record,36,6,CISO,"PDF, XLSX"
INVENTORY,Asset Inventory,جرد الأصول,record,36,1,None,"XLSX, CSV"
CMDB_EXPORT,CMDB Export,تصدير CMDB,artifact,24,1,None,"XLSX, JSON"
CLASSIFICATION_SCHEME,Classification Scheme,مخطط التصنيف,document,60,24,CISO,PDF
