module,owner_service,table,columns,purpose,purpose_source,has_data
admin,tenant-service,_retired_dashboard_overrides_v1,8,"Retired/deprecated table — kept for rollback safety only",pattern,no
admin,tenant-service,activity_feed,14,"Admin -- Activity Feed",name,no
admin,tenant-service,activity_notifications,7,"Admin -- Activity: Notification queue/log",pattern,no
admin,tenant-service,actor_audit_log,12,"Admin -- Actor Audit: Activity/audit log records",pattern,no
admin,tenant-service,actor_registry,12,"Admin -- Actor Registry",name,yes
admin,tenant-service,agrc_event_dlq,12,"Admin -- Agrc Event Dlq",name,no
admin,tenant-service,api_ai_config,15,"Admin -- Api Ai: Configuration values",pattern,no
admin,tenant-service,api_keys,14,"Admin -- Api: Key/identifier catalog",pattern,no
admin,tenant-service,assessment_templates,20,"Admin -- Assessment: Template catalog",pattern,yes
admin,tenant-service,automation_log,11,"Admin -- Automation: Activity/audit log records",pattern,no
admin,tenant-service,automation_rules,24,"Admin -- Automation: Rules/policy definitions",pattern,yes
admin,tenant-service,cache_dependencies,8,"Admin -- Cache: Dependency mapping",pattern,yes
admin,tenant-service,cache_invalidation_log,7,"Admin -- Cache Invalidation: Activity/audit log records",pattern,no
admin,tenant-service,command_palette_history,10,"Admin -- Command Palette: Historical change records",pattern,no
admin,tenant-service,consent_records,7,"Admin -- Consent Records",name,no
admin,tenant-service,content_pack_installations,6,"Admin -- Content Pack Installations",name,no
admin,tenant-service,contract_tests,8,"Admin -- Contract Tests",name,no
admin,tenant-service,cross_module_links,13,"Admin -- Cross Module: Cross-table link records",pattern,no
admin,tenant-service,dos_agent_approvals,14,"Admin -- AI agent record (Dos Agent Approvals)",token,no
admin,tenant-service,dos_agent_instructions,9,"Admin -- AI agent record (Dos Agent Instructions)",token,no
admin,tenant-service,dos_agent_kernel_audit,10,"Admin -- Dos Agent Kernel: Audit-trail entries",pattern,no
admin,tenant-service,dos_agent_memories,11,"Admin -- AI agent record (Dos Agent Memories)",token,no
admin,tenant-service,dos_agent_metrics,9,"Admin -- Dos Agent: Metric data points",pattern,no
admin,tenant-service,dos_agent_registry,14,"Admin -- AI agent record (Dos Agent Registry)",token,no
admin,tenant-service,dos_agent_runs,17,"Admin -- Dos Agent: Execution run records",pattern,no
admin,tenant-service,dos_agent_schedules,12,"Admin -- AI agent record (Dos Agent Schedules)",token,no
admin,tenant-service,dos_agent_state_log,7,"Admin -- Dos Agent State: Activity/audit log records",pattern,no
admin,tenant-service,dos_agent_states,5,"Admin -- Dos Agent: State-machine state catalog",pattern,no
admin,tenant-service,dos_agent_tasks,17,"Admin -- Dos Agent: Task records",pattern,no
admin,tenant-service,dos_agent_tool_audit,10,"Admin -- Dos Agent Tool: Audit-trail entries",pattern,no
admin,tenant-service,dos_agent_tool_calls,8,"Admin -- AI agent record (Dos Agent Tool Calls)",token,no
admin,tenant-service,dos_agent_watchdog_log,7,"Admin -- Dos Agent Watchdog: Activity/audit log records",pattern,no
admin,tenant-service,email_send_log,13,"Admin -- Email Send: Activity/audit log records",pattern,no
admin,tenant-service,enterprise_user_role_assignments,18,"Admin -- Enterprise User Role: Assignment mapping (X to Y)",pattern,yes
admin,tenant-service,entity_dimension_assignments,9,"Admin -- Entity Dimension: Assignment mapping (X to Y)",pattern,no
admin,tenant-service,entity_instances,10,"Admin -- Entity Instances",name,no
admin,tenant-service,entity_lifecycle_log,11,"Admin -- Entity Lifecycle: Activity/audit log records",pattern,no
admin,tenant-service,entity_relationships,6,"Admin -- Entity: Relationship records",pattern,no
admin,tenant-service,entity_routing_config,12,"Admin -- Entity Routing: Configuration values",pattern,yes
admin,tenant-service,entity_type_routing_config,10,"Admin -- Entity Type Routing: Configuration values",pattern,yes
admin,tenant-service,entity_types,9,"Admin -- Entity Types",name,yes
admin,tenant-service,event_processing_state,7,"Admin -- Event Processing: State-machine state",pattern,yes
admin,tenant-service,event_subscriptions,8,"Admin -- Event: Subscription records",pattern,no
admin,tenant-service,event_trigger_bindings,12,"Admin -- Event Trigger Bindings",name,yes
admin,tenant-service,explainability_packs,6,"Admin -- Explainability Packs",name,no
admin,tenant-service,favorites,7,"Admin -- Favorites",name,no
admin,tenant-service,feature_flags,10,"Admin -- Feature Flags",name,yes
admin,tenant-service,file_storage,18,"Admin -- File Storage",name,no
admin,tenant-service,functional_roles,11,"Admin -- Functional: Role definitions",pattern,yes
admin,tenant-service,grc_control_sector_mapping,6,"Admin -- Grc Control Sector: Cross-entity mapping",pattern,no
admin,tenant-service,grc_entity_profile_mapping,9,"Admin -- Grc Entity Profile: Cross-entity mapping",pattern,no
admin,tenant-service,grc_evidence_action_mapping,9,"Admin -- Grc Evidence Action: Cross-entity mapping",pattern,no
admin,tenant-service,grc_evidence_sector_mapping,6,"Admin -- Grc Evidence Sector: Cross-entity mapping",pattern,no
admin,tenant-service,grc_risk_sector_mapping,6,"Admin -- Grc Risk Sector: Cross-entity mapping",pattern,no
admin,tenant-service,grc_roadmaps,7,"Admin -- Grc Roadmaps",name,no
admin,tenant-service,grc_sector_lookup,7,"Admin -- Grc Sector Lookup",name,yes
admin,tenant-service,guidance_history,8,"Admin -- Guidance: Historical change records",pattern,no
admin,tenant-service,handoff_batches,11,"Admin -- Handoff Batches",name,yes
admin,tenant-service,input_validation_rules,21,"Admin -- Input Validation: Rules/policy definitions",pattern,no
admin,tenant-service,kernel_snapshots,4,"Admin -- Kernel: Point-in-time snapshots",pattern,no
