id,framework_code,from_version,to_version,change_type,change_category,severity,entity_type,field_changed,old_value,new_value,change_description_en,change_description_ar,impact_description_en,requires_reassessment,transition_months,controls_added,controls_removed,controls_modified,is_major_update
1,NCA-ECC,1.0,2.0,control_count_change,structural,major,framework,total_controls,94,114,Control count changed from 94 to 114,تغير عدد الضوابط من 94 إلى 114,"Major update with enhanced cloud security, AI governance, and supply chain controls",True,12,25,5,45,True
2,NCA-ECC,1.0,2.0,controls_added,content,moderate,control,controls,,25 new controls,25 new controls added,تمت إضافة 25 ضوابط جديدة,New controls require implementation,True,12,25,0,0,False
3,NCA-ECC,1.0,2.0,controls_removed,content,minor,control,controls,5 controls,,5 controls removed or consolidated,تم إزالة أو دمج 5 ضوابط,Removed controls no longer require evidence,False,0,0,5,0,False
4,NCA-ECC,1.0,2.0,controls_modified,content,moderate,control,requirements,,45 controls updated,45 existing controls modified,تم تعديل 45 ضوابط قائمة,Modified controls may require updated evidence,True,12,0,0,45,False
5,SAMA-CSF,1.0,2.0,control_count_change,structural,major,framework,total_controls,120,156,Control count changed from 120 to 156,تغير عدد الضوابط من 120 إلى 156,"Aligned with NCA-ECC 2.0, added cloud and third-party controls",True,18,42,6,78,True
6,SAMA-CSF,1.0,2.0,controls_added,content,moderate,control,controls,,42 new controls,42 new controls added,تمت إضافة 42 ضوابط جديدة,New controls require implementation,True,18,42,0,0,False
7,SAMA-CSF,1.0,2.0,controls_removed,content,minor,control,controls,6 controls,,6 controls removed or consolidated,تم إزالة أو دمج 6 ضوابط,Removed controls no longer require evidence,False,0,0,6,0,False
8,SAMA-CSF,1.0,2.0,controls_modified,content,moderate,control,requirements,,78 controls updated,78 existing controls modified,تم تعديل 78 ضوابط قائمة,Modified controls may require updated evidence,True,18,0,0,78,False
9,SAMA-AML,4.0,5.0,control_count_change,structural,moderate,framework,total_controls,145,167,Control count changed from 145 to 167,تغير عدد الضوابط من 145 إلى 167,Enhanced virtual assets requirements and beneficial ownership rules,False,12,28,6,55,False
10,SAMA-AML,4.0,5.0,controls_added,content,moderate,control,controls,,28 new controls,28 new controls added,تمت إضافة 28 ضوابط جديدة,New controls require implementation,True,12,28,0,0,False
11,SAMA-AML,4.0,5.0,controls_removed,content,minor,control,controls,6 controls,,6 controls removed or consolidated,تم إزالة أو دمج 6 ضوابط,Removed controls no longer require evidence,False,0,0,6,0,False
12,SAMA-AML,4.0,5.0,controls_modified,content,moderate,control,requirements,,55 controls updated,55 existing controls modified,تم تعديل 55 ضوابط قائمة,Modified controls may require updated evidence,True,12,0,0,55,False
13,SAMA-PSR,1.0,1.2,control_count_change,structural,moderate,framework,total_controls,55,67,Control count changed from 55 to 67,تغير عدد الضوابط من 55 إلى 67,Added open banking requirements and BNPL regulations,False,6,15,3,22,False
14,SAMA-PSR,1.0,1.2,controls_added,content,moderate,control,controls,,15 new controls,15 new controls added,تمت إضافة 15 ضوابط جديدة,New controls require implementation,True,6,15,0,0,False
15,SAMA-PSR,1.0,1.2,controls_removed,content,minor,control,controls,3 controls,,3 controls removed or consolidated,تم إزالة أو دمج 3 ضوابط,Removed controls no longer require evidence,False,0,0,3,0,False
16,SAMA-PSR,1.0,1.2,controls_modified,content,moderate,control,requirements,,22 controls updated,22 existing controls modified,تم تعديل 22 ضوابط قائمة,Modified controls may require updated evidence,True,6,0,0,22,False
17,CMA-CG,2017,2022,control_count_change,structural,moderate,framework,total_controls,82,94,Control count changed from 82 to 94,تغير عدد الضوابط من 82 إلى 94,Added ESG requirements and enhanced board diversity rules,False,12,18,6,35,False
18,CMA-CG,2017,2022,controls_added,content,moderate,control,controls,,18 new controls,18 new controls added,تمت إضافة 18 ضوابط جديدة,New controls require implementation,True,12,18,0,0,False
19,CMA-CG,2017,2022,controls_removed,content,minor,control,controls,6 controls,,6 controls removed or consolidated,تم إزالة أو دمج 6 ضوابط,Removed controls no longer require evidence,False,0,0,6,0,False
20,CMA-CG,2017,2022,controls_modified,content,moderate,control,requirements,,35 controls updated,35 existing controls modified,تم تعديل 35 ضوابط قائمة,Modified controls may require updated evidence,True,12,0,0,35,False
21,ZATCA-EINV,1.0,2.0,control_count_change,structural,major,framework,total_controls,12,35,Control count changed from 12 to 35,تغير عدد الضوابط من 12 إلى 35,Phase 2 integration requirements with ZATCA systems,True,6,25,2,8,True
22,ZATCA-EINV,1.0,2.0,controls_added,content,moderate,control,controls,,25 new controls,25 new controls added,تمت إضافة 25 ضوابط جديدة,New controls require implementation,True,6,25,0,0,False
23,ZATCA-EINV,1.0,2.0,controls_removed,content,minor,control,controls,2 controls,,2 controls removed or consolidated,تم إزالة أو دمج 2 ضوابط,Removed controls no longer require evidence,False,0,0,2,0,False
24,ZATCA-EINV,1.0,2.0,controls_modified,content,moderate,control,requirements,,8 controls updated,8 existing controls modified,تم تعديل 8 ضوابط قائمة,Modified controls may require updated evidence,True,6,0,0,8,False
25,ISO-27001,2013,2022,control_count_change,structural,major,framework,total_controls,114,93,Control count changed from 114 to 93,تغير عدد الضوابط من 114 إلى 93,"Complete restructure: 14 clauses reduced to 4 themes, new controls for cloud and threat intelligence",True,36,11,32,58,True
26,ISO-27001,2013,2022,controls_added,content,moderate,control,controls,,11 new controls,11 new controls added,تمت إضافة 11 ضوابط جديدة,New controls require implementation,True,36,11,0,0,False
27,ISO-27001,2013,2022,controls_removed,content,minor,control,controls,32 controls,,32 controls removed or consolidated,تم إزالة أو دمج 32 ضوابط,Removed controls no longer require evidence,False,0,0,32,0,False
28,ISO-27001,2013,2022,controls_modified,content,moderate,control,requirements,,58 controls updated,58 existing controls modified,تم تعديل 58 ضوابط قائمة,Modified controls may require updated evidence,True,36,0,0,58,False
29,ISO-22301,2012,2019,control_count_change,structural,moderate,framework,total_controls,54,67,Control count changed from 54 to 67,تغير عدد الضوابط من 54 إلى 67,Enhanced risk-based approach and alignment with ISO high-level structure,False,36,15,2,38,False
30,ISO-22301,2012,2019,controls_added,content,moderate,control,controls,,15 new controls,15 new controls added,تمت إضافة 15 ضوابط جديدة,New controls require implementation,True,36,15,0,0,False
31,ISO-22301,2012,2019,controls_removed,content,minor,control,controls,2 controls,,2 controls removed or consolidated,تم إزالة أو دمج 2 ضوابط,Removed controls no longer require evidence,False,0,0,2,0,False
32,ISO-22301,2012,2019,controls_modified,content,moderate,control,requirements,,38 controls updated,38 existing controls modified,تم تعديل 38 ضوابط قائمة,Modified controls may require updated evidence,True,36,0,0,38,False
33,NIST-CSF,1.0,1.1,control_count_change,structural,moderate,framework,total_controls,98,108,Control count changed from 98 to 108,تغير عدد الضوابط من 98 إلى 108,Added supply chain risk management and self-assessment guidance,False,0,12,2,25,False
34,NIST-CSF,1.0,1.1,controls_added,content,moderate,control,controls,,12 new controls,12 new controls added,تمت إضافة 12 ضوابط جديدة,New controls require implementation,True,0,12,0,0,False
35,NIST-CSF,1.0,1.1,controls_removed,content,minor,control,controls,2 controls,,2 controls removed or consolidated,تم إزالة أو دمج 2 ضوابط,Removed controls no longer require evidence,False,0,0,2,0,False
36,NIST-CSF,1.0,1.1,controls_modified,content,moderate,control,requirements,,25 controls updated,25 existing controls modified,تم تعديل 25 ضوابط قائمة,Modified controls may require updated evidence,True,0,0,0,25,False
37,NIST-CSF,1.1,2.0,control_count_change,structural,major,framework,total_controls,108,125,Control count changed from 108 to 125,تغير عدد الضوابط من 108 إلى 125,"Added Govern function, expanded supply chain and cloud guidance",True,24,22,5,45,True
38,NIST-CSF,1.1,2.0,controls_added,content,moderate,control,controls,,22 new controls,22 new controls added,تمت إضافة 22 ضوابط جديدة,New controls require implementation,True,24,22,0,0,False
39,NIST-CSF,1.1,2.0,controls_removed,content,minor,control,controls,5 controls,,5 controls removed or consolidated,تم إزالة أو دمج 5 ضوابط,Removed controls no longer require evidence,False,0,0,5,0,False
40,NIST-CSF,1.1,2.0,controls_modified,content,moderate,control,requirements,,45 controls updated,45 existing controls modified,تم تعديل 45 ضوابط قائمة,Modified controls may require updated evidence,True,24,0,0,45,False
41,PCI-DSS,3.2.1,4.0,control_count_change,structural,major,framework,total_controls,264,362,Control count changed from 264 to 362,تغير عدد الضوابط من 264 إلى 362,"Major update with customized approach option, enhanced authentication, and new e-commerce requirements",True,24,128,30,180,True
42,PCI-DSS,3.2.1,4.0,controls_added,content,moderate,control,controls,,128 new controls,128 new controls added,تمت إضافة 128 ضوابط جديدة,New controls require implementation,True,24,128,0,0,False
43,PCI-DSS,3.2.1,4.0,controls_removed,content,minor,control,controls,30 controls,,30 controls removed or consolidated,تم إزالة أو دمج 30 ضوابط,Removed controls no longer require evidence,False,0,0,30,0,False
44,PCI-DSS,3.2.1,4.0,controls_modified,content,moderate,control,requirements,,180 controls updated,180 existing controls modified,تم تعديل 180 ضوابط قائمة,Modified controls may require updated evidence,True,24,0,0,180,False
