control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
1,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-1,Cybersecurity Strategy,استراتيجية الأمن السيبراني,1-1-1,Cybersecurity Strategy Definition,تحديد استراتيجية الأمن السيبراني,"A cybersecurity strategy must be defined, documented, and approved. It must be supported by the head of the entity (Authorizing Official). The strategy goals must align with related laws and regulations.",يجب تعريف وتوثيق واعتماد استراتيجية الأمن السيبراني بدعم من الجهة المعنية.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
2,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-1,Cybersecurity Strategy,استراتيجية الأمن السيبراني,1-1-2,Strategy Implementation Roadmap,خارطة طريق تنفيذ الاستراتيجية,An action plan must be executed to implement the cybersecurity strategy.,يجب تنفيذ خطة عمل لتنفيذ استراتيجية الأمن السيبراني.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
3,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-1,Cybersecurity Strategy,استراتيجية الأمن السيبراني,1-1-3,Strategy Review,مراجعة الاستراتيجية,The cybersecurity strategy must be reviewed at planned intervals or after major changes.,يجب مراجعة استراتيجية الأمن السيبراني على فترات مخططة.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
4,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-2,Cybersecurity Management,إدارة الأمن السيبراني,1-2-1,Cybersecurity Department,إدارة الأمن السيبراني,"A cybersecurity department must be established, independent from IT (per Royal Decree 37140).",يجب إنشاء إدارة للأمن السيبراني مستقلة عن إدارة تقنية المعلومات.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
5,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-2,Cybersecurity Management,إدارة الأمن السيبراني,1-2-2,Cybersecurity Function Reporting,تبعية إدارة الأمن السيبراني,Cybersecurity function should report directly to the head of the entity.,ترفع إدارة الأمن السيبراني تقاريرها لرئيس الجهة مباشرة.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
6,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-2,Cybersecurity Management,إدارة الأمن السيبراني,1-2-3,Cybersecurity Manager - Saudi National,مدير الأمن السيبراني - مواطن سعودي,Cybersecurity management positions must be filled with full-time qualified Saudi cybersecurity professionals (Saudization requirement).,يجب شغل مناصب إدارة الأمن السيبراني بمتخصصين سعوديين مؤهلين بدوام كامل.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
7,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-2,Cybersecurity Management,إدارة الأمن السيبراني,1-2-4,Cybersecurity Steering Committee,اللجنة التوجيهية للأمن السيبراني,A cybersecurity steering committee must be established with defined charter.,يجب إنشاء لجنة توجيهية للأمن السيبراني وتحديد ميثاقها.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
8,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-3,Cybersecurity Policies and Procedures,سياسات وإجراءات الأمن السيبراني,1-3-1,Cybersecurity Policies,سياسات الأمن السيبراني,"Cybersecurity policies must be defined, documented, approved, communicated and complied with.",يجب تعريف وتوثيق واعتماد وتعميم وتطبيق سياسات الأمن السيبراني.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
9,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-3,Cybersecurity Policies and Procedures,سياسات وإجراءات الأمن السيبراني,1-3-2,Policy Review,مراجعة السياسات,Cybersecurity policies must be reviewed at least annually.,يجب مراجعة سياسات الأمن السيبراني سنوياً على الأقل.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
10,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,1,Cybersecurity Governance,حوكمة الأمن السيبراني,1-4,Cybersecurity Roles and Responsibilities,أدوار ومسؤوليات الأمن السيبراني,1-4-1,Defined Roles,الأدوار المحددة,"Cybersecurity roles and responsibilities must be defined, documented, and approved.",يجب تعريف وتوثيق واعتماد أدوار ومسؤوليات الأمن السيبراني.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
